thread_id,customer_text,agent_text,true_intent,should_escalate,escalation_reason
1063151,"@115858 donc quand notre iPhone chauffe juste parce qu’il est en charge et s’éteint à 45 % c’est rien ?
Faut sourire et en acheter un autre?",@371034 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,hardware_repair,1,hardware_damage
876712,@AppleSupport This iOS update is glitch on top of glitch on top of glitch. I’m very tired.,"@328143 We're happy to see how we can help. To start, which device are you experiencing this on and which iOS version is it running?",software_troubleshooting,1,hardware_damage
1066899,Just upgraded to the iPhone 7 from the SE. Battery life on the 7 is shocking @AppleSupport @115858 had it 2 days and already regretting it!,@371773 We'd like to look into this a bit more with you. Could you join us in DM with more info? https://t.co/GDrqU22YpT,hardware_repair,1,hardware_damage
2358800,I have an iPhone 8 Plus. I updated my phone to iOS 11.1.1 and my phone has been freezing. I’m explaining glitches with my email and music app. Apple what’s good? @AppleSupport @115858,@681254 Thanks for reaching out to us. We'd like to help you and look into this freezing issue further. Please DM us to continue working on this. https://t.co/GDrqU22YpT,software_troubleshooting,1,software issue
1067823,@AppleSupport I can’t turn on cellular data for certain apps and my phone is on the latest version of ios,"@371981 Has the device been restarted since it happened? If not, let's do that using these steps: https://t.co/OWRDHWSt4h",software_troubleshooting,1,software issue
2143995,.@115858 this I️ glitch is the worst thing ever. How is this not fixed yet???,@440682 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,software_troubleshooting,0,Safe for auto-reply
1474844,@115858 @AppleSupport What’s the update on a new update? iOS 11.0.3 has literally killed my phone. I think I’m going to Android like others,@462379 Hello. Could you let us know specifically what has happened to your device; does it power on?,software_troubleshooting,1,not much information provided for agent
2794357,Is the @115858 Mac’s rainbow pinwheel of death supposed to make me feel good about imminently  losing all my shit?  At least PC has the guts to kick you in the face w/ a spinning hour glass as if to say your life is about run out of sand.,@779805 Thanks for reaching out. What exact issue are you experiencing with the device?,other,1,toxic language
2734454,"@AppleSupport on the iphone x, do you still have the security feature of unlocking it with a password, or is it all done via facial recognition only?","@766390 Great question! A passcode is set as an alternate way to verify your identity. For more information about Face ID/passcode, click here: https://t.co/5dZ9R889O9",general_inquiry,0,Safe for auto-reply
362093,@AppleSupport iOS 11 has made it impossible to update apps in the AppStore! They just look like they’re loading but never actually do!,@201776 We're here to help. DM us which iOS 11 version you're on and we'll go from there. https://t.co/GDrqU22YpT,software_troubleshooting,0,Safe for auto-reply
1469335,Does anyone know how to disable the iPhone asking for Apple Pay in iOS 11.03? I don’t use Apple Pay @AppleSupport,@461034 We would like to help with this. Reach out to us in DM with more information. https://t.co/GDrqU22YpT,general_inquiry,0,Safe for auto-reply
266527,@115858 @AppleSupport updated to ios11 and I’ve had the loading symbol on the left side since.,"@179498 Thanks for reaching out. We're happy to help. To start, which iOS device and exact iOS 11 version are you using?",software_troubleshooting,1,fix needed
1535682,Why are my I’s turning into I️ @AppleSupport,@476174 We can look into this auto-correct with you. DM us the iOS version you're running. https://t.co/GDrqU22YpT,other,1,not much information provided for the agent
2144574,@630511 @167557 @8942 That iPhone glitch is so annoying!!!! I️. Wtf is this @115858,@630510 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,software_troubleshooting,0,Safe for auto-reply
1411621,@AppleSupport No. But I just did that and it fixed it. Thanks!,@399109 Awesome! Our pleasure. Have a great rest of your day!,general_inquiry,0,Safe for auto-reply
1943287,@AppleSupport my iPhone 7 is on airplane mode and still receives and sends msgs. Help pls,@577782 Let's look in to this together and figure out what is occurring. Which version of the iOS is installed on your iPhone? https://t.co/GDrqU22YpT,software_troubleshooting,1,asked for direct help
1338140,"@AppleSupport have lost 3 from 4 email accounts since updating to iOS 11.0.3 &amp; can’t add back, suggestions?","@432120 We're happy to help. To get started, let us know which device you're using. What happens when you attempt to re-add them?",software_troubleshooting,1,needed fix from support
1540659,@AppleSupport @115858 Can I stream music with Apple Music?,@477474 Yes. You can absolutely stream music via Apple Music.,general_inquiry,0,Safe for auto-reply
766961,@AppleSupport both. 'Rake It Up' is purchased but the others are from Apple Music.,@303302 Let's meet in DM to collect more information and have this resolved. https://t.co/GDrqU22YpT,general_inquiry,0,Safe for auto-reply
1134113,"@AppleSupport I had to wipe the whole fucking thing, losing all my pix, apps, drawings and then it worked. Now iTunes keeps asking me to log in constantly",@387226 Let's work together to see what we can do about your data. Please DM us with the country where you're located to continue. https://t.co/GDrqU22YpT,hardware_repair,1,needed fix as general fix won't fix
1818781,"@115858 @AppleSupport 
#Bringbackios11 this new ios 11.0.3 is terrible! I have lost 2% battery life since I started typing this msg 😡","@546306 Battery life is important, and we're here for you. DM us the device you're experiencing this on, and we'll get started. https://t.co/GDrqU22YpT",general_inquiry,0,Safe for auto-reply
