thread_id,customer_text,agent_text
1590509,"@AppleSupport Almost every time, I was asked to hard reset my device. That obviously got me reinstall most of my stuff afterwards. (an enormous amount of wasted time).
I suggest, you fix your iOS script and issue a patch ASAP.…And get better Beta testers for next time.",@489010 We understand your concern. We're happy to take a closer look into any behaviors you're experiencing. Please reach out via DM. https://t.co/GDrqU22YpT
1795422,#ios1103 has even worse battery drain. @115858 you going to fix this anytime soon?,@539502 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together. https://t.co/GDrqU22YpT
1533774,"Updated my phone now my music gone , I’m so sick of @115858 like 700+ songs GOOOOOOOONNNNEEE 😡🤬🤬🤬","@475664 We'd love to help. To start, send us a DM letting us know if you subscribe to Apple Music. https://t.co/GDrqU22YpT"
34597,@AppleSupport iMessage stopped working and won’t activate anymore—is that a problem on your side?,"@123495 We're not showing any issues on our end: https://t.co/7NVrDovSd8

Has it been over 24 hours since you tried activating?"
1614943,@115858 iOS 11 Bluetooth connectivity always on has to change,@495341 We can help! Take a look at this article for how this feature works in iOS 11: https://t.co/G7BHuQnDS6 DM us any questions https://t.co/GDrqU22YpT
2076276,@AppleSupport since update to iOS 11.0.2 phone is freezing and can’t access mail. What’s happening???,@614059 We'd love to help out. Which iPhone are you experiencing this with? Does restarting help with your app? DM us your reply. https://t.co/nYknMGviju
763515,@AppleSupport This happens now with iOS 11... I have an iPad Pro...,@302453 We'd like to take a closer look at this. Send us a DM and we'll pick up with you there. https://t.co/GDrqU22YpT
215371,Fix Apple Watch update glitchy af @AppleSupport,@167174 We can certainly take a look at your Apple Watch with you. Can you tell us more about the issue you're experiencing?
1217542,"@AppleSupport Calls are fine its music, voice notes, playing videos and even just typing but during calls my sound seems to work",@405696 Interesting. Let's see if the troubleshooting steps in the following article helps: https://t.co/4Kux8rhhGX
2597175,"@AppleSupport how much does it cost to repair a keyboard, after an accidental spill has occurred, and4 keys no longer work?",@735350 We're here to help. Please meet us in DM. https://t.co/GDrqU22YpT
2006727,@AppleSupport The letter after h in the alphabet also pronounced eye,@593403 We appreciate you reaching out to us. The steps in this article should help: https://t.co/xU1AGHStV6 DM us any questions. https://t.co/GDrqU22YpT
1451830,"@115858 Update:

Alright @115858 I.T did I.T again

Hands are being thrown 😤👊🏼",@456915 Let's see what we can find together. Do you have any text replacements set at Settings &gt; General &gt; Keyboards &gt; Text Replacement?
1061497,"Hmm, not seeing the iPhone upgrade program pre-qualify in the Apple store app for my Tmobile phone, @AppleSupport",@370640 Thanks for reaching out. Our Online Store team is best suited to assist you with your upgrade options: https://t.co/8yjRd1Xo0i
2036656,@AppleSupport Front proximity sensor doesn't work when the device when it enters 20% low power state?,@602152 Low Power Mode should affect the features listed here: https://t.co/VtbR4hS4qv Send us a DM and let's look into this. https://t.co/GDrqU22YpT
1134140,@AppleSupport i can't reset my password for my apple id please help,@387234 We'd like to help. Have you tried resetting the Apple ID through our website? Check out this article: https://t.co/ZTde7mzxXQ
2004114,@115858 can you explain why my computer internally combusted? https://t.co/XYzc4FhHSL,@592632 Hi there. Thank you for reaching out. Please meet us in DM and tell us what country you're located in. https://t.co/GDrqU22YpT
2319866,@115858 y’all need to fix this “l” before y’all lose everyone’s money.. this glitch mad annoying,@672364 Thanks for reaching out! This issue has been fixed with the latest iOS 11.1.1 update. You can find out more information here: https://t.co/xXaXeeSRt9 Be sure to back up your iPhone before updating.
457232,So some random person is trying to use my email address for their apple id and now I'm 1) getting spammed with verification emails 2) can't create an apple id using that email address 3) can't login to their apple id (don't know the phone number) 4) no way to tell @AppleSupport,"@223561 We know how important it is to have access to your account, and we are going to do everything we can to help you. Please contact our Apple ID account specialists for support. 

You can reach out to them here: https://t.co/UJm15vmMM2"
844248,Bug cuando abres el centro de notificaciones en iOS 11.0.3 (Fíjense en Medium) @115858 @AppleSupport @66475 @119460 https://t.co/xbB0s4jARS,@320715 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs
1898688,@115858 IPhone saying got no storage! No matter what do! Help,@565857 Let's take a look at this together. How much space is available in Settings &gt; General &gt; About? Let us know in DM. https://t.co/GDrqU22YpT
87078,@AppleSupport I completed them but still declined them. All :)),@135061 We can understand wanting to be able to download free apps without a payment method. This article will explain what to do if you cannot choose None as a payment method: https://t.co/rnB74M0zio Let us know what questions you have after reviewing the article.
2614251,phone really been crashing out . this shit hella bogus @115858,"@739025 We want to help. Does this seem to be happening while using certain apps? If so, could you DM us which apps? We'll look into this with you from there. https://t.co/GDrqU22YpT"
402647,@AppleSupport Thank you for your fast response :-) I had all power settings on low 😦,"@211253 Sure thing! To clarify, you were already using the recommendations or have now applied them?"
2910444,@AppleSupport iOS 11.1.2 iPhone 7,"@575515 When you're seeing this issue, is it when you type or are you only seeing it on texts, iMessages that you're receiving or posts other individuals have made on social media apps?"
2534793,Lost one of my airpods what can you do for me @AppleSupport,"@429339 Thanks for reaching out to us today. We're sorry to hear about your AirPod and would be happy to look into the best options with you. Since certain options can vary by region, would you mind sending us a DM with your current location, and we'll start there. https://t.co/GDrqU22YpT"
2512681,@AppleSupport need to buy back MacBook pro. Old one is outdated. How to go about it.,@716103 We'd like to gather some more info to get you pointed in the right direction. Please DM us more details here: https://t.co/GDrqU2kzhr
385695,@AppleSupport Currently on a 2TB iCloud account and having issues syncing between 2 macs. Any way to not downloading all my data on both?,@207301 We're here to help. Let's take this to DM so we can better assist you. https://t.co/GDrqU22YpT
1974121,"clear battery draining issues from iphone, after ios 11 upgrade or please share how to downgrade the ios...@115858 @AppleSupport @2310",@539364 We can help out! Which device is this on and which version of iOS 11 is currently installed?
