thread_id,customer_text,true_intent,pred_intent,confidence_score,true_escalate,pred_escalate,agent_status,escalation_reason,drafted_reply,retrieved_examples,judge_tone,judge_grounding,judge_reasoning
1063151,"@115858 donc quand notre iPhone chauffe juste parce qu’il est en charge et s’éteint à 45 % c’est rien ?
Faut sourire et en acheter un autre?",hardware_repair,software_troubleshooting,0.8,True,True,escalated,Refund or disputed charge/payment issue,,0,,,
876712,@AppleSupport This iOS update is glitch on top of glitch on top of glitch. I’m very tired.,software_troubleshooting,software_troubleshooting,0.8,True,False,auto_handled,,"@CustomerName We're here for you. What's happening with your device? Also, which iOS version are you using?",5,,,
1066899,Just upgraded to the iPhone 7 from the SE. Battery life on the 7 is shocking @AppleSupport @115858 had it 2 days and already regretting it!,hardware_repair,general_inquiry,0.7,True,False,auto_handled,,@115858 We're sorry to hear about the battery life. Let's check the iOS version. What's your current iOS 11 version? Find it in Settings > General > About.,5,,,
2358800,I have an iPhone 8 Plus. I updated my phone to iOS 11.1.1 and my phone has been freezing. I’m explaining glitches with my email and music app. Apple what’s good? @AppleSupport @115858,software_troubleshooting,software_troubleshooting,0.8,True,False,auto_handled,,@115858 We'd love to help. Which iPhone model are you using? Does restarting help with your apps? DM us your reply.,5,,,
1067823,@AppleSupport I can’t turn on cellular data for certain apps and my phone is on the latest version of ios,software_troubleshooting,software_troubleshooting,0.8,True,False,auto_handled,,@Customer We're here to help. Please DM us your country and the specific apps you're having trouble with. This will help us assist you better.,5,,,
2143995,.@115858 this I️ glitch is the worst thing ever. How is this not fixed yet???,software_troubleshooting,software_troubleshooting,0.8,False,True,escalated,Highly frustrated or toxic customer,,0,,,
1474844,@115858 @AppleSupport What’s the update on a new update? iOS 11.0.3 has literally killed my phone. I think I’m going to Android like others,software_troubleshooting,software_troubleshooting,0.8,True,False,auto_handled,,@115858 We're sorry to hear about the issues you're experiencing with iOS 11.0.3. Let's try to get your device back to normal. Could you please DM us with your iPhone model and the current iOS version?,5,,,
2794357,Is the @115858 Mac’s rainbow pinwheel of death supposed to make me feel good about imminently  losing all my shit?  At least PC has the guts to kick you in the face w/ a spinning hour glass as if to say your life is about run out of sand.,other,other,0.9,True,True,escalated,Highly frustrated or toxic customer,,0,,,
2734454,"@AppleSupport on the iphone x, do you still have the security feature of unlocking it with a password, or is it all done via facial recognition only?",general_inquiry,account_security,0.8,False,False,auto_handled,,"@CustomerName We're here to help. The iPhone X supports both Face ID and a passcode. To check or change your unlock method, go to Settings > Face ID & Passcode. Need further assistance? Let's continue in a DM.",5,,,
362093,@AppleSupport iOS 11 has made it impossible to update apps in the AppStore! They just look like they’re loading but never actually do!,software_troubleshooting,software_troubleshooting,0.9,False,False,auto_handled,,@Customer We're here to help. Which device and iOS version are you using? Your version can be found in Settings > General > About. Have you tried downloading the apps via Wi-Fi or cellular?,5,,,
1469335,Does anyone know how to disable the iPhone asking for Apple Pay in iOS 11.03? I don’t use Apple Pay @AppleSupport,general_inquiry,software_troubleshooting,0.8,False,False,auto_handled,,"@CustomerName We understand you don't use Apple Pay. For assistance with this feature, please contact our Apple Pay Support team. They'll be happy to help.",5,,,
